BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
1,1,Good,0.760806,28.41103,57.0,-115.68255,146257.137,-6.97958,1.0375,0.96094,3.18694,-0.41718
2,1,Good,0.943451,36.36057,34.0,92.39724,98506.25958,-3.68359,0.92539,0.92114,6.03558,-0.86151
3,1,Good,0.975702,48.19935,65.0,-330.32212,74913.63114,-35.51684,0.51074,0.50254,2.34797,-2.58243
4,1,Good,0.943451,59.0895,46.0,-165.99638,142545.1066,-11.35433,0.95625,0.90574,3.34954,-1.3225
5,1,Good,0.919891,32.45931,72.0,-286.86813,75004.08095,-12.44098,0.87444,0.81035,0.53997,-1.21492
6,1,Good,0.857509,23.9155,19.0,77.97591,111750.89499,-5.83289,0.99878,0.95342,3.96486,-0.43895
7,1,Good,0.983232,94.58939,21.0,579.12633,103493.93527,-1.66287,1.11768,1.10796,8.16893,-0.55819
8,1,Good,0.781914,60.54381,36.0,-117.58304,111283.62513,-7.79188,0.95215,0.9376,1.81197,-1.44726
9,1,Good,0.973101,63.33634,24.0,256.86945,134927.41098,-1.82053,1.03897,1.01929,6.85362,-0.62901
10,1,Good,0.911169,45.36695,61.0,-298.34786,112915.97205,-9.831,0.98867,0.9419,2.6569,-1.74925
11,1,Good,0.93258,48.22716,79.0,-858.64298,73730.35975,-21.81123,0.84839,0.65537,0.38943,-3.15064
12,1,Bad,0.709755,23.33529,77.0,-361.4131,30121.89313,-6.48142,0.59258,0.36641,0.31429,-0.97436
13,1,Good,0.908855,56.8702,62.0,-345.58317,48578.39311,-15.66949,0.77041,0.69756,1.02689,-2.49842
14,1,Good,0.904256,29.54788,68.0,-270.19985,46545.46798,-18.69093,0.92217,0.70186,0.83043,-0.67918
15,1,Good,0.979695,43.59993,60.0,-169.64372,70024.53397,-19.31007,0.96758,0.88193,1.90234,-1.00414
16,1,Good,0.856788,56.43386,58.0,-439.32843,89309.14358,-18.92159,0.9377,0.81343,2.01919,-1.78286
17,1,Good,0.925456,24.58483,37.0,48.76241,58997.63263,-5.32206,1.35508,0.98452,6.71889,-0.10948
18,1,Good,0.970576,64.72783,34.0,87.76239,88991.94091,-6.9074,1.13833,0.9898,6.51356,-0.55408
19,1,Good,0.760806,65.64013,32.0,-189.23457,91816.20274,-20.58375,0.93823,0.86138,3.51739,-1.748
20,1,Good,0.880722,37.77433,23.0,316.83603,65983.66084,-1.38298,1.18428,1.10142,7.77739,-0.11535
21,1,Good,0.871821,47.70689,11.0,437.28557,94327.65334,-3.68255,1.07817,1.05818,7.06411,-0.19982
22,1,Good,0.982472,91.34423,47.0,71.98369,116740.11657,-6.35672,1.08047,1.06521,3.20869,-1.69406
23,1,Good,0.868839,25.18871,38.0,-20.55763,84812.58566,-8.75513,1.3832,1.02749,6.897,-0.04142
24,1,Good,0.956959,90.49022,32.0,199.29793,98058.55569,-2.61334,1.18125,1.08189,6.4311,-0.86232
25,1,Good,0.973185,24.94554,48.0,-155.62035,80945.85036,-7.66135,1.02686,0.90361,4.48535,-1.10598
26,1,Good,0.974684,71.68344,70.0,-894.50253,115795.75139,-19.81082,0.76934,0.72964,0.68954,-6.85458
27,1,Good,0.939709,29.0977,43.0,-186.33483,67106.02022,-5.39528,0.93369,0.85195,5.13956,-1.93125
28,1,Good,0.915533,70.12946,66.0,-802.58999,119031.27337,-17.13315,0.82319,0.77876,0.84776,-5.93791
29,1,Bad,0.640101,46.44479,24.0,231.20606,163434.88345,-4.02233,1.17998,1.04854,8.50983,-0.55995
30,1,Good,0.961485,56.50437,50.0,-257.0074,153122.25337,-19.36601,0.99329,0.89124,3.67906,-1.70624
31,1,Good,0.930419,75.49164,69.0,-769.77727,110341.97427,-30.66989,0.80811,0.77402,0.37291,-5.74636
32,1,Good,0.933625,46.47701,62.0,-379.15095,115164.15501,-15.80773,0.97949,0.83999,3.97723,-1.43511
33,1,Good,0.989674,44.00831,57.0,-209.08374,70543.81832,-8.32378,0.90283,0.88579,1.19951,-2.34488
34,1,Good,0.973645,38.36904,49.0,-171.43759,82912.0057,-8.10325,1.18955,0.93091,6.56729,-0.15967
35,1,Good,0.833347,47.71111,54.0,-345.41965,109011.37631,-15.18717,0.93535,0.87295,3.28261,-2.41998
36,1,Good,0.921676,47.95295,54.0,-312.29852,112880.09167,-13.55992,0.94077,0.87388,3.58447,-2.14113
37,1,Good,0.954913,67.93446,62.0,-491.10949,84729.35639,-26.23547,0.8333,0.78516,1.50224,-2.77322
38,1,Good,0.964286,73.08129,74.0,-875.42177,111783.9945,-21.86568,0.84131,0.77422,0.23053,-5.38149
39,1,Good,0.961485,50.06106,75.0,-683.26226,92162.00459,-13.90859,0.87617,0.78779,1.37766,-2.4924
40,1,Good,0.923384,66.44781,74.0,-696.86234,103090.31049,-16.23354,0.92158,0.81641,0.5624,-2.78368
41,1,Good,0.825549,41.73428,59.0,-69.45446,120304.04042,-7.62447,1.05938,0.97852,2.91581,-0.5495
42,1,Good,0.806197,82.02908,16.0,603.90551,68685.62917,-0.13123,1.09092,1.11201,9.98104,-0.23466
43,1,Good,0.882411,93.80469,32.0,103.21421,110961.3034,-1.05555,1.00723,0.97139,4.35901,-0.97386
44,1,Good,0.742875,75.27986,45.0,-149.09436,74688.90591,-4.19266,0.96167,0.91628,2.11752,-1.48818
45,1,Good,0.919891,91.30859,16.0,606.20346,88712.1645,-2.6443,1.20469,1.20137,10.33246,-0.42433
46,1,Good,0.875048,71.00337,58.0,-215.30926,56869.50487,-5.6453,0.92324,0.88438,0.88051,-1.89269
47,1,Good,0.836312,28.18583,80.0,-456.79221,53296.53945,-10.18687,0.8596,0.71001,0.14467,-1.08079
48,1,Good,0.833299,55.91197,24.0,120.24382,66868.86705,-9.11815,1.04648,0.93496,7.12011,-1.02247
49,1,Good,0.90559,71.74134,29.0,292.18926,67475.10904,-4.86809,0.96899,0.96553,7.02014,-1.23693
50,1,Good,0.751011,52.08039,36.0,6.06425,76020.4339,-6.6783,1.02891,1.00981,3.42054,-0.88053
51,1,Good,0.917332,70.11541,11.0,415.50505,79166.98442,0.0,1.05947,1.05547,7.06118,-0.40372
52,1,Good,0.806197,81.1316,56.0,-330.57254,93584.25163,-12.01742,0.92034,0.91033,0.6672,-3.01955
53,1,Medium,0.80986,71.00143,29.0,21.97139,78398.73141,-6.78284,0.98247,0.95645,3.7151,-1.43929
54,1,Good,0.890352,97.15566,58.0,-542.80883,97533.06192,-17.26743,0.78418,0.78389,0.29994,-5.66847
55,1,Good,0.998012,60.43334,26.0,839.09294,247574.56911,-8.73363,1.06563,1.07031,13.59527,-1.61783
56,1,Good,0.99362,55.5372,61.0,-705.93038,190887.16372,-19.12316,0.90706,0.88403,0.94656,-5.96536
57,1,Good,0.970576,63.68704,43.0,-389.30639,181081.5248,-17.89505,0.91411,0.87065,2.41587,-3.22883
58,1,Good,0.998012,62.83191,40.0,24.19455,121706.64577,-3.72327,1.03369,1.01514,2.80453,-1.54745
59,1,Good,0.978802,48.7028,65.0,-486.47224,127881.69036,-22.88655,1.05698,0.8583,3.56479,-1.20092
60,1,Good,0.943451,45.12752,41.0,-108.91128,175178.07577,-14.61912,1.01777,0.96965,6.62475,-2.48604
61,1,Good,0.754821,18.82394,50.0,-24.24435,96236.0872,-7.36566,0.95215,0.92607,2.48212,-0.80347
62,1,Good,0.908855,82.59052,24.0,58.04542,64376.22137,-14.64067,0.76831,0.77051,3.78678,-1.45803
63,1,Good,0.982097,13.36587,74.0,-251.39842,53077.39329,-11.88328,0.83223,0.7856,0.47843,-1.14881
64,1,Good,0.943451,35.0967,58.0,-233.16779,100319.2141,-10.28775,0.89824,0.85901,1.00494,-1.44896
65,1,Good,0.932814,24.80478,38.0,-80.41827,68988.4437,-10.5494,1.02505,0.83477,1.67992,-0.26786
66,1,Good,0.932814,72.12993,35.0,-3.48157,68370.33747,-5.63238,0.96216,0.92114,2.29187,-1.01191
67,1,Good,0.766989,88.52666,41.0,-89.73412,72539.17855,-11.51683,0.91006,0.87671,2.19763,-1.88705
68,1,Good,0.982097,76.17835,32.0,169.17166,76879.71175,-9.04607,0.94082,0.88037,5.43591,-0.89959
69,1,Good,0.833348,43.16379,58.0,-55.10531,64505.55484,-5.17275,1.08196,1.03301,2.50824,-0.7665
70,1,Good,0.833348,37.65315,81.0,-728.99182,43445.0494,-16.2172,0.56016,0.40176,0.06779,-3.72718
71,1,Good,0.919891,8.83484,68.0,-166.74475,18087.08876,-4.363,0.49414,0.36602,0.55929,-0.45806
72,1,Good,0.833348,60.84478,72.0,-175.3701,50044.19969,-4.87685,1.09819,0.99485,1.12486,-1.06571
73,1,Good,0.943451,14.29299,47.0,-182.19723,29467.01941,-9.73188,0.55752,0.49512,0.7992,-1.2615
74,1,Good,0.833348,36.8985,47.0,-101.50956,49604.74159,-12.50232,0.90527,0.85064,1.12548,-0.71429
75,1,Good,0.979358,37.70648,22.0,136.89845,37788.16918,-3.48282,1.14893,0.95215,4.5132,-0.10775
76,1,Good,0.982874,42.85782,54.0,-156.98059,55525.87991,-6.66598,0.92607,0.8543,1.47306,-0.96332
77,1,Good,0.861812,54.65617,65.0,-256.15408,66901.03569,-9.05996,0.94214,0.86372,0.50034,-1.12206
78,1,Good,0.865023,91.71949,37.0,41.9875,65602.6603,-11.94379,0.89023,0.86406,3.82555,-1.64627
79,1,Good,0.982097,96.90086,67.0,-348.49273,79179.46019,-10.37537,0.88853,0.87451,0.29313,-3.41582
80,1,Good,0.975007,29.24022,51.0,10.83376,46869.70366,-5.5756,1.39014,1.13574,3.35679,-0.06574
81,1,Good,0.97823,63.87398,72.0,-393.16264,75178.09031,-12.33424,0.99981,0.9384,0.83618,-2.60672
82,1,Good,0.825781,38.65003,60.0,73.61831,67400.37397,-4.25208,1.44199,1.20801,4.40858,-0.22118
83,1,Good,0.982874,99.23634,60.0,-136.7554,81163.73827,-5.43319,1.02935,1.01428,1.25613,-2.12755
84,1,Good,0.975423,48.53017,62.0,-117.54801,55838.6457,-7.27415,1.31494,1.09497,3.8074,-0.72186
85,1,Good,0.929291,88.78511,47.0,-218.05214,74879.49876,-12.4466,0.85918,0.85098,0.9384,-2.72011
86,1,Good,0.904256,28.11861,56.0,-117.05748,172248.13298,-11.98224,0.97231,0.90781,3.31316,-1.22039
87,1,Good,0.919891,38.94553,69.0,-486.13331,116826.20226,-26.52856,0.69033,0.63652,0.79071,-2.55217
88,1,Good,0.975007,20.26839,53.0,-99.33797,91847.62072,-4.4813,1.07891,0.95757,3.1602,-0.56483
89,1,Good,0.870249,55.02806,53.0,-256.59317,159276.85712,-14.94477,1.00596,0.87151,1.78851,-0.99432
90,1,Good,0.950937,72.69686,21.0,590.31793,108378.75461,-2.81821,1.12334,1.09111,8.30131,-0.71711
91,1,Good,0.925014,81.34433,71.0,-429.02826,113551.37984,-21.21038,0.86685,0.84136,0.28306,-3.46021
92,1,Good,0.965799,37.37219,72.0,-465.80848,125698.5205,-15.52552,0.80137,0.71123,0.97208,-2.0466
93,1,Good,0.875048,64.59867,39.0,-138.87164,104898.66467,-8.68721,0.97437,0.91646,3.86727,-1.93683
94,1,Good,0.833348,35.95687,70.0,-472.15983,70494.60465,-12.98796,0.98906,0.74443,0.95499,-0.93843
95,1,Good,0.886159,16.35038,40.0,-66.08243,36283.91158,-7.10528,1.07344,0.67969,1.71809,-0.09587
96,1,Good,0.943451,52.36961,73.0,-342.02375,64976.87201,-14.35443,0.97207,0.83652,0.56334,-1.51496
97,1,Good,0.904256,39.05316,28.0,-49.99271,59833.53683,-7.94717,0.96372,0.81865,1.92674,-0.27474
98,1,Good,0.886159,44.39005,53.0,-455.49526,89241.84853,-26.75488,0.66455,0.63604,0.3726,-3.5355
99,1,Good,0.950937,31.8643,58.0,-306.12333,72726.69428,-19.33185,0.78223,0.65664,2.29244,-1.30868
100,1,Good,0.975007,43.87828,70.0,-525.29491,94754.24725,-14.70652,0.83433,0.73125,0.50068,-2.11004
101,1,Good,0.963691,55.94735,67.0,-413.97004,101611.64477,-17.50968,0.8605,0.7585,1.28199,-1.98966
102,1,Good,0.846534,49.70655,66.0,-270.87084,90099.13161,-12.24856,1.0699,0.9041,1.43652,-0.49352
103,1,Good,0.95673,92.19877,45.0,-18.43236,113218.23932,-4.86886,0.97012,0.96382,1.77059,-1.8121
104,1,Good,0.971156,31.09728,65.0,-236.2989,76967.70568,-8.24962,1.27852,0.81177,3.45466,-0.12091
105,1,Good,0.963691,58.4296,65.0,-155.08597,100555.06197,-9.8746,1.07358,0.96621,2.63515,-1.29954
106,1,Good,0.842776,35.2915,71.0,-313.86778,111419.14857,-8.2726,1.23496,0.8644,3.48805,-0.29374
107,1,Good,0.969369,100.02544,33.0,314.06286,103149.62505,-4.48,1.23311,1.18145,5.22651,-1.02985
108,1,Good,0.971156,39.42381,47.0,-61.42082,77480.95597,-4.30397,1.47783,0.97661,6.09,-0.09569
109,1,Good,0.915526,74.16424,53.0,-309.52869,113826.17736,-13.51147,0.85059,0.83267,0.8464,-2.88571
110,1,Good,0.83886,26.12018,42.0,211.20666,103307.62193,-3.35956,1.02617,0.99922,5.5683,-0.59508
111,1,Good,0.927418,79.59714,50.0,-476.38183,163674.94517,-29.78401,0.83301,0.80908,4.52805,-4.45241
112,1,Good,0.936957,63.53342,30.0,77.70932,99707.90151,-5.88023,0.94453,0.91836,7.05748,-1.73242
113,1,Good,0.891157,35.29101,74.0,-343.36754,84188.05556,-12.65243,0.9167,0.86856,1.55697,-1.71893
114,1,Good,0.950665,62.24895,34.0,565.30977,170880.75057,-5.64353,1.02607,1.02559,11.27444,-2.24186
115,1,Good,0.929291,26.48452,42.0,205.25424,60671.07554,-1.38176,1.18965,1.14834,4.33491,-0.21451
116,1,Good,0.953833,23.37259,44.0,229.91202,95099.63478,-2.81429,1.17637,1.1187,6.17765,-0.34836
117,1,Good,0.973412,64.87459,32.0,583.62561,114914.38234,-15.51828,1.04585,1.03843,10.3913,-2.20761
118,1,Good,0.86139,31.41817,18.0,575.55162,108499.60849,-0.0379,1.0749,1.06709,8.5415,-0.48412
119,1,Good,0.983707,38.51453,42.0,220.00368,120157.7242,-3.39032,1.04844,1.01758,8.24537,-1.31357
120,1,Good,0.982472,21.25075,11.0,1134.20486,93828.69991,2.16171,1.33232,1.23213,17.45172,-0.12354
121,1,Good,0.982097,28.93573,36.0,174.86271,59449.59982,-3.89832,1.2501,1.08315,7.81855,-0.47175
122,1,Good,0.97423,55.50279,49.0,-62.17038,21277.52284,-1.59096,1.03398,0.79004,1.34215,-0.31222
123,1,Good,0.97423,57.64688,20.0,80.12712,69540.48098,-0.25942,1.07085,1.02329,3.34514,-0.41401
124,1,Good,0.801211,47.20352,52.0,120.71365,58397.28632,-4.84682,1.27041,1.17129,6.736,-1.31837
125,1,Good,0.887637,37.36553,40.0,226.63803,82945.30325,-3.93028,1.004,1.00054,5.72408,-1.13097
