BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
126,1,Good,0.973046,49.11046,29.0,372.96651,110912.90766,-8.20051,1.02539,1.00425,8.56843,-1.65439
127,1,Good,0.906885,58.01882,32.0,564.12638,78279.49052,-5.76739,1.1583,1.10645,12.94605,-0.82749
128,1,Good,0.982422,61.59872,29.0,815.59413,98332.38642,-7.83839,1.08477,1.08672,14.84162,-1.73746
129,1,Good,0.989277,54.77734,29.0,527.34364,114877.36096,-8.67168,1.05776,1.03272,11.53822,-1.79516
130,1,Good,0.970774,42.16649,30.0,481.1541,83206.73681,-3.89922,1.14443,1.10469,9.8605,-0.76737
131,1,Good,0.809696,30.06399,35.0,364.00055,110138.096,-3.23514,1.08037,1.05962,8.21766,-1.10079
132,1,Good,0.989753,72.19229,25.0,196.60404,123995.24394,-9.50376,1.00757,0.99736,4.53852,-1.86968
133,1,Good,0.95178,30.60679,46.0,87.40247,66456.87101,-4.37182,1.3041,1.05781,9.66375,-0.67467
134,1,Good,0.989618,60.54947,37.0,108.38533,99912.54485,-8.38432,1.09771,1.01987,8.91019,-1.37549
135,1,Good,0.854866,29.03583,29.0,235.03092,92228.28087,-4.56061,1.31484,1.07422,11.23936,-0.37596
136,1,Good,0.887317,65.95873,51.0,-308.46313,118199.45279,-10.28192,0.9781,0.94548,2.25124,-2.53884
137,1,Good,0.811526,66.8006,22.0,640.82948,63176.02824,-6.3726,1.23486,1.16104,14.2962,-0.80164
138,1,Good,0.943121,83.79379,31.0,171.03637,123943.68327,-5.88974,1.00398,1.00498,4.62128,-2.19948
139,1,Good,0.961485,46.30243,30.0,791.84956,174835.31577,-11.65506,1.06543,1.04863,12.00664,-1.65535
140,1,Good,0.806197,62.41246,71.0,-449.60131,95138.15568,-15.49999,0.99678,0.89238,3.35695,-2.95106
141,1,Good,0.998195,86.62288,31.0,383.50938,79316.76447,-3.44172,1.05469,1.04243,6.90914,-1.20688
142,1,Good,0.997616,38.20914,32.0,216.3676,173316.56341,-7.79108,1.0959,1.04766,6.85913,-0.58596
143,1,Good,0.976352,56.31484,33.0,158.10961,119041.44653,-13.36541,1.06738,1.04199,4.69343,-1.05535
144,1,Good,0.936701,73.63957,60.0,-574.03632,130419.14358,-19.36259,0.98599,0.93345,1.66501,-4.26247
145,1,Good,0.958602,73.80499,48.0,-370.60551,89630.65576,-23.36568,0.92578,0.9,2.45084,-4.08695
146,1,Good,0.950937,80.97934,32.0,-69.93963,31751.40716,-9.9052,1.11162,1.00347,1.71582,-1.05826
147,1,Good,0.883632,64.79415,23.0,-330.16723,73436.44543,-26.92143,0.86675,0.8604,0.58709,-3.57248
148,1,Good,0.961485,87.49264,22.0,413.96723,11296.00433,-4.73286,1.03398,0.94844,7.61874,-2.12237
149,1,Good,0.976759,51.89773,39.0,-386.45282,88746.00622,-17.69841,0.93691,0.90696,0.98098,-3.1324
150,1,Good,0.982422,80.70729,58.0,-423.31544,53824.825,-29.42155,0.91504,0.80396,1.65167,-3.44267
151,1,Good,0.981496,58.41522,33.0,-59.70349,99288.17365,-19.0633,1.0085,0.97437,4.89021,-2.43071
152,1,Bad,0.723481,60.31957,44.0,-212.26023,101713.7559,-19.91582,0.85396,0.8376,7.28439,-7.33526
153,1,Bad,0.594966,29.8774,17.0,1228.73238,69475.20198,-2.58831,1.10596,1.1043,13.67488,-0.56138
154,1,Good,0.782097,48.23067,21.0,181.00132,131919.23334,-10.96326,1.02498,1.01746,3.86913,-1.4628
155,1,Bad,0.997865,66.06239,24.0,529.83672,58777.56499,-4.41283,1.26699,1.16787,9.33879,-0.9917
156,1,Good,0.997605,49.02589,27.0,1619.23624,53646.63008,-9.31872,1.14668,1.05459,20.5012,-1.01245
157,1,Good,0.943121,59.94192,44.0,-477.1846,121762.76016,-30.81243,0.94941,0.89971,4.53877,-5.88255
158,1,Good,0.997605,58.20658,27.0,361.76086,62794.30409,-4.2113,1.15342,1.08174,8.45645,-1.00844
159,1,Good,0.876228,58.10251,48.0,-559.41486,133775.2592,-22.76312,0.93652,0.9186,0.87149,-5.06422
160,1,Good,0.998149,68.11596,28.0,48.81141,164373.94565,-10.98731,0.93687,0.92773,5.9305,-3.46636
161,1,Good,0.979803,70.32325,54.0,-249.6175,70806.16332,-14.56567,0.96118,0.88652,2.87158,-1.94955
162,1,Good,0.932104,55.10003,45.0,-253.18074,114656.82909,-17.21573,0.99922,0.96694,3.11569,-2.89308
163,1,Bad,0.72514,64.08284,48.0,-180.1404,207879.71687,-23.88715,0.9252,0.90059,5.61448,-3.13659
164,1,Good,0.816479,73.54878,57.0,199.54046,87308.13642,-20.70856,0.89492,0.86494,8.25872,-3.42715
165,1,Good,0.993914,52.47575,45.0,-87.48632,81450.69936,-9.26859,0.98286,0.95706,1.84571,-1.28826
166,1,Good,0.95552,51.99476,56.0,-445.03969,103476.1208,-20.34542,0.85459,0.79326,4.08506,-2.84808
167,1,Good,0.966389,55.86578,45.0,-250.16324,124021.5858,-18.12942,1.00337,0.95225,2.47574,-1.79961
168,1,Good,0.98215,65.28044,25.0,639.03409,137982.53859,-2.03001,1.1418,1.06016,13.32484,-1.46042
169,1,Good,0.945486,47.83774,58.0,-233.3221,91682.5306,-14.33692,0.97031,0.88106,4.69598,-1.44244
170,1,Good,0.998195,89.04648,29.0,58.73002,69020.07792,-0.8726,0.90737,0.88223,4.33184,-1.37619
171,1,Good,0.993221,55.79347,35.0,-29.5718,147050.58511,-10.84581,1.0417,0.98247,6.50429,-1.35953
172,1,Good,0.978284,44.63604,44.0,-145.9754,98229.26195,-13.56952,0.98955,0.95205,3.62275,-2.15256
173,1,Good,0.971063,55.96502,60.0,-463.7707,120366.72953,-21.99169,0.91318,0.88215,1.86084,-3.03935
174,1,Good,0.950937,61.13291,45.0,-309.3916,70559.41773,-19.89463,0.91516,0.88984,0.35167,-2.29476
175,1,Good,0.961485,49.71962,60.0,-241.90507,62937.06022,-11.09184,0.96333,0.89009,1.49072,-1.07241
176,1,Good,0.998195,61.33593,56.0,-317.51668,91773.7377,-19.24704,0.97256,0.9439,1.15492,-2.18322
177,1,Good,0.998012,49.28618,69.0,-742.16749,83432.43415,-19.20364,0.95259,0.79399,2.65089,-2.18307
178,1,Good,0.997634,53.50592,47.0,-428.70285,109220.89587,-17.27485,0.94531,0.90278,4.32519,-3.95826
179,1,Good,0.997616,49.42772,52.0,-331.01821,114410.48904,-14.10041,0.9957,0.93518,4.47521,-2.46704
180,1,Good,0.98703,36.34775,39.0,210.48843,101266.40592,-7.93259,1.1063,1.05713,6.69151,-0.53864
181,1,Good,0.998195,62.24283,67.0,-793.20575,116083.88775,-21.58294,0.87422,0.85383,0.28881,-6.20507
182,1,Good,0.98703,65.36426,66.0,-702.7793,100694.68015,-17.9439,0.89038,0.85156,2.73364,-5.1321
183,1,Good,0.889147,54.35176,66.0,-610.41005,115108.01707,-15.20244,0.92036,0.89736,0.91387,-4.6563
184,1,Good,0.992201,26.40403,54.0,-65.12226,94224.22464,-8.23256,1.0208,0.9167,7.08582,-1.3839
185,1,Good,0.943451,25.38513,49.0,-119.04783,62128.63921,-9.45461,1.14883,0.88442,6.53354,-0.39326
186,1,Good,0.986205,32.18677,77.0,-656.27844,46396.71449,-19.25716,0.80972,0.64204,0.19306,-2.87653
187,1,Good,0.943753,50.31513,56.0,-186.40744,89870.13569,-9.03973,1.11963,0.93992,4.98324,-1.05274
188,1,Good,0.956959,56.60498,62.0,-355.21458,50872.81243,-15.84507,0.95859,0.85781,1.12101,-1.60704
189,1,Good,0.987367,26.0181,37.0,79.58613,66567.25828,-7.88927,1.17998,0.97671,6.81336,-0.16181
190,1,Good,0.919891,36.37043,64.0,-287.7287,52943.45502,-11.78018,1.0543,0.90645,3.88948,-1.01008
191,1,Good,0.796261,70.83673,49.0,-261.82141,35648.91732,-11.52699,1.00386,0.8918,0.91646,-1.95148
192,1,Good,0.911169,40.31841,80.0,-972.90141,35389.24808,-29.4672,0.23359,0.12637,0.09516,-4.4373
193,1,Good,0.721042,47.37124,61.0,-363.98781,46811.76669,-19.17259,0.86797,0.76436,1.27749,-1.79569
194,1,Good,0.96542,43.20422,79.0,-1019.15667,44708.02483,-23.4147,0.52109,0.37031,1.75743,-3.78571
195,1,Good,0.969136,37.38042,69.0,-502.35562,57329.87237,-15.29281,0.94932,0.79092,3.84729,-1.6766
196,1,Good,0.997607,42.69506,70.0,-545.01344,58359.52505,-16.90666,0.90449,0.74893,2.68372,-1.43939
197,1,Good,0.886988,50.44445,51.0,-253.07378,55061.64635,-19.19211,0.8978,0.80737,4.01931,-1.8762
198,1,Good,0.992063,86.47982,70.0,-433.98568,60552.36767,-12.23441,0.83442,0.83442,0.27861,-4.61847
199,1,Good,0.856159,59.38422,58.0,-196.905,56690.03173,-6.18409,1.03501,0.94365,3.15019,-1.49304
200,1,Good,0.869926,82.60804,54.0,-305.47841,57847.9703,-9.41389,0.91099,0.87773,0.91306,-3.19126
201,1,Good,0.819772,28.18818,61.0,-31.27524,35594.69697,-1.83853,1.40254,1.13809,2.21559,-0.47259
202,1,Good,0.833348,89.21761,35.0,38.62459,35272.98476,-8.67893,0.66992,0.6624,4.64943,-1.19792
203,1,Good,0.930958,17.3518,80.0,-363.03785,28002.45881,-13.02881,0.59688,0.32559,0.40441,-0.72834
204,1,Good,0.90976,50.94247,67.0,-212.98337,31910.59203,-8.8959,1.01602,0.73779,0.8137,-1.19762
205,1,Good,0.936794,60.39769,21.0,-7.00712,14534.98949,-2.15911,0.94297,0.70156,1.3488,-0.38404
206,1,Good,0.809285,94.57157,22.0,-75.28089,22063.98504,-8.43124,0.48154,0.44697,2.07846,-1.84398
207,1,Good,0.945486,98.1284,12.0,291.6636,24595.98714,-5.09821,0.87109,0.78906,5.22545,-0.55249
208,1,Good,0.833348,49.709,38.0,-162.68043,17689.85043,-10.79793,0.84565,0.53682,0.6999,-0.59044
209,1,Good,0.93258,28.6571,77.0,-444.55389,17299.77687,-13.59263,0.10098,0.03516,0.14888,-1.37137
210,1,Good,0.845143,49.57413,51.0,-69.3077,8403.1914,-3.84034,0.9335,0.67871,0.22069,-0.29298
211,1,Good,0.858956,6.78023,48.0,-89.67606,12405.93254,-2.47505,0.82861,0.52783,0.70286,-0.15403
212,1,Good,0.861812,65.42143,65.0,-160.00608,17430.1507,-4.18305,0.89893,0.69473,0.4255,-0.55224
213,1,Good,0.940565,39.3145,54.0,-78.09772,26951.62236,-4.72382,1.68184,0.82695,3.54686,-0.17527
214,1,Good,0.932814,59.31194,76.0,-371.62372,25019.09494,-6.81829,1.02285,0.74727,0.91874,-2.10511
215,1,Good,0.897215,59.59594,76.0,-386.14372,26533.92181,-14.89567,1.00186,0.67168,0.91826,-2.26835
216,1,Good,0.832401,99.96034,37.0,125.13845,20775.29943,-3.6634,0.8626,0.85313,4.42764,-1.31509
217,1,Good,0.858956,90.9985,44.0,-54.32901,13266.02913,-3.70255,0.98232,0.85186,0.6538,-0.78011
218,1,Good,0.932814,30.6595,58.0,-248.01994,21901.87034,-12.65443,1.0169,0.45215,0.80834,-0.39411
219,1,Good,0.97823,48.64581,51.0,-152.58707,16314.10632,-4.91912,0.89766,0.56191,0.57102,-0.61419
220,1,Medium,0.833375,33.63714,50.0,-147.99561,21371.94488,-7.43138,1.74395,0.66973,1.25066,-0.22458
221,1,Good,0.923384,98.43421,35.0,-43.51543,15506.43077,-3.6776,0.84443,0.82891,0.44446,-0.79554
222,1,Good,0.805739,38.93032,69.0,-217.49605,16963.99224,-6.82304,1.31318,0.52251,0.92235,-0.26592
223,1,Good,0.898981,100.8736,73.0,-264.6013,17132.91955,-9.08371,0.54561,0.52373,0.1223,-2.65085
224,1,Good,0.979695,34.40563,44.0,120.58165,114254.4376,-9.92351,1.01699,0.99888,3.91818,-1.14663
225,1,Good,0.975975,90.57295,62.0,-391.38633,77578.24943,-26.2997,0.97925,0.9479,1.00763,-3.50044
226,1,Good,0.983232,57.58086,80.0,-791.45834,50388.06562,-22.66539,0.77256,0.61694,0.12383,-3.6787
227,1,Good,0.936957,64.41784,53.0,-123.34982,73943.09487,-6.43053,1.05742,1.01631,2.3818,-1.48359
228,1,Good,0.741364,29.31924,46.0,240.08495,94899.36096,-5.11647,1.33584,1.22588,7.42587,-0.74858
229,1,Good,0.950937,66.36085,30.0,114.74076,47259.83067,-18.42506,0.98281,0.82266,5.33318,-0.77425
230,1,Good,0.969675,45.91856,66.0,-386.29654,86447.45996,-14.36621,0.89287,0.80576,1.52539,-1.86429
231,1,Good,0.796261,75.60517,47.0,-387.0087,63945.53302,-24.25655,0.77393,0.73369,1.65828,-3.4925
232,1,Good,0.904454,81.26205,30.0,-76.98521,70282.58186,-27.73947,0.8019,0.73291,4.37624,-2.2
233,1,Good,0.939369,61.76281,65.0,-240.19579,34929.76081,-11.56955,0.86455,0.75728,0.24614,-1.27765
234,1,Good,0.975007,47.06715,31.0,28.25955,44278.37306,-11.98199,1.02012,0.81924,5.25821,-0.52189
235,1,Good,0.935846,44.9122,47.0,-144.95126,52661.699,-10.06716,1.20137,0.93364,3.88906,-0.58312
236,1,Good,0.744842,51.91762,61.0,-316.40894,61411.3725,-17.89022,1.04959,0.87759,2.10319,-1.18249
237,1,Good,0.84147,94.95631,34.0,170.67739,49457.84675,-9.04055,1.14092,1.03877,5.66328,-1.11637
238,1,Good,0.971156,96.88102,73.0,-489.41499,70179.8267,-18.44693,0.88479,0.87515,0.44669,-4.9332
239,1,Good,0.763466,70.47068,74.0,-607.67705,64476.79642,-20.73953,0.89624,0.81333,0.29672,-3.77285
240,1,Good,0.820568,94.0403,51.0,82.71733,53961.32401,-4.21339,1.23765,1.15425,3.3534,-1.41819
241,1,Good,0.921676,28.85219,26.0,119.9451,132876.11715,-16.55096,0.93013,0.9271,4.65428,-2.24731
242,1,Good,0.950665,71.50063,64.0,-340.07365,80604.40256,-18.89637,0.89199,0.85371,0.58499,-2.21234
243,1,Good,0.961485,11.23841,36.0,-55.97977,62857.4842,-2.03982,0.95601,0.93691,1.52796,-0.85215
244,1,Good,0.976759,58.72306,61.0,-449.17625,137229.38912,-20.39861,0.94009,0.89648,0.58623,-2.7675
245,1,Good,0.909943,59.76692,30.0,383.83761,78300.89872,-13.16605,1.09453,1.05474,6.46652,-0.89944
246,1,Good,0.929291,56.7472,60.0,-382.79508,103867.28756,-18.97272,0.90835,0.87925,0.64957,-2.48537
247,1,Good,0.929291,76.85977,62.0,-494.09245,63783.40434,-31.34026,0.82993,0.80645,0.16281,-4.18924
248,1,Good,0.971045,58.70697,65.0,-298.06331,51860.08638,-19.23874,0.85933,0.80625,0.70001,-1.92601
249,1,Good,0.975395,61.32752,77.0,-864.43517,64003.41957,-34.57651,0.73311,0.60762,0.58275,-4.36482
250,1,Good,0.975395,46.67949,46.0,-131.30533,89898.0158,-6.14298,1.01686,0.98352,2.58802,-1.38352
251,1,Good,0.971045,54.04122,60.0,-366.16095,96967.97291,-15.82524,0.99424,0.94414,1.4327,-2.10682
252,1,Good,0.971045,66.19568,60.0,-309.69479,89925.6547,-19.55643,0.99918,0.9656,1.04883,-1.95725
